California,Golden Bears,Land,37.8708393,-122.272863,003262,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21337.svg
Campbell,Fighting Camels,Land,35.412332500000005,-78.73665059608209,F58025,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21404.svg
Canisius,Golden Griffins,Land,42.8867166,-78.8783922,0C2340,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21254.svg
Central Arkansas,Bears,Land,35.2521996,-92.6888936,4F2D7F,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160900.svg
Central Connecticut,Blue Devils,Person,41.6612104,-72.7795419,00539B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21314.svg
Central Michigan,Chippewas,Person,33.1570582,-94.9694007,6A0032,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21268.svg
Charleston Southern,Buccaneers,Person,32.7884363,-79.9399309,002855,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21182.svg
Charlotte,49ers,Person,35.2272086,-80.8430827,046A38,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21241.svg
Chattanooga,Mocs,Water,35.0457219,-85.3094883,00386B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21366.svg
Chicago St.,Cougars,Land,41.8755616,-87.6244212,006666,Teal,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21277.svg
Cincinnati,Bearcats,Land,39.1014537,-84.5124602,E00122,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21235.svg
Clemson,Tigers,Land,34.6850749,-82.8364111,F56600,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21129.svg
Cleveland St.,Vikings,Person,41.4996574,-81.6936772,006747,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21297.svg
Coastal Carolina,Chanticleers,Air,33.8360035,-79.0478143,006F71,Teal,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21183.svg
Colgate,Raiders,Person,43.6307863,-74.4659275,821019,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21347.svg
College of Charleston,Cougars,Land,32.7884363,-79.9399309,800000,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21367.svg
Colorado,Buffaloes,Land,40.0149856,-105.270545,CFB87C,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21202.svg
Colorado St.,Rams,Land,40.5871782,-105.0770113,1E4D2B,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21425.svg
Columbia,Lions,Land,40.7127281,-74.0060152,003865,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21247.svg
Connecticut,Huskies,Land,41.80564555,-72.25413294148728,000E2F,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21161.svg
Coppin St.,Eagles,Air,39.2908816,-76.610759,003056,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21286.svg
Cornell,Big Red,Color,42.437417499999995,-76.54837235139263,B31B1B,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21248.svg
Creighton,Bluejays,Air,41.2587459,-95.9383758,005CA9,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21305.svg
Dartmouth,Big Green,Color,43.703622,-72.288666,046A38,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21249.svg
Davidson,Wildcats,Land,35.7902384,-80.2115053,AC1A2F,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21368.svg
Dayton,Flyers,Person,39.7589478,-84.1916069,CE1141,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21138.svg
Delaware,Blue Hens,Air,39.6828358,-75.7515682,00539F,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21151.svg
Delaware St.,Hornets,Air,39.158168,-75.5243682,009DDC,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21287.svg
Denver,Pioneers,Person,39.7392364,-104.984862,8B2332,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21440.svg
DePaul,Blue Demons,Person,41.8755616,-87.6244212,005EB8,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21236.svg
Detroit,Titans,Person,42.3315509,-83.0466403,002D72,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21298.svg
Drake,Bulldogs,Land,41.5868654,-93.6249494,004477,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21306.svg
Drexel,Dragons,Air,39.9527237,-75.1635262,00437B,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21152.svg
Duke,Blue Devils,Person,35.996653,-78.9018053,003087,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21130.svg
Duquesne,Dukes,Person,40.4416941,-79.9900861,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21139.svg
East Carolina,Pirates,Person,35.613224,-77.3724593,592A8A,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21226.svg
East Tennessee St.,Buccaneers,Person,36.3134398,-82.3534728,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21369.svg
Eastern Illinois,Panthers,Land,39.4961458,-88.1761521,004B83,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21326.svg
Eastern Kentucky,Colonels,Person,37.7478572,-84.2946539,8A0039,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21327.svg
Eastern Michigan,Eagles,Air,42.2410562,-83.613055,006633,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21269.svg
Eastern Washington,Eagles,Air,47.4892246,-117.579304,A10022,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21173.svg
Elon,Phoenix,Air,36.1029132,-79.5066895,73000A,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21188.svg
Evansville,Purple Aces,Object,37.970495,-87.5715641,52237F,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21307.svg
Fairfield,Stags,Land,41.1412078,-73.2637258,C8102E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21255.svg
Fairleigh Dickinson,Devils,Land,40.8871438,-74.0410865,015A9C,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21315.svg
FIU,Panthers,Land,25.7741728,-80.19362,081E3F,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21399.svg
Florida,Gators,Water,29.6519684,-82.3249846,0021A5,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21355.svg
Florida A&M,Rattlers,Land,30.4380832,-84.2809332,EE7624,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21288.svg
Florida Atlantic,Owls,Air,26.3586885,-80.0830984,003366,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21407.svg
Florida Gulf Coast,Eagles,Air,26.640628,-81.8723084,007749,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/450402.svg
